topic,languages,main_speaker,duration,film_date,published_date,comments,views
Society,48,Jay Walker,274,2009,2009,588,4289903
Education,39,Michelle Obama,749,2009,2009,313,1026589
Technology&Science,29,Jonathan Drori,394,2009,2009,103,555846
Art,28,Kaki King,889,2008,2009,287,1054415
Education,22,Liz Coleman,1118,2009,2009,323,589931
Education,27,Ray Kurzweil,527,2009,2009,145,908923
Technology&Science,31,Yann Arthus-Bertrand,894,2009,2009,143,751889
Self-development,17,Felix Dennis,1044,2004,2009,55,296294
Society,34,Pete Alcorn,230,2009,2009,126,493966
Technology&Science,33,John La Grou,252,2009,2009,172,606042
Environment,38,Kevin Surace,199,2009,2009,69,352169
Self-development,22,Nancy Etcoff,1185,2004,2009,112,1587823
Technology&Science,24,Robert Full,714,2009,2009,72,665959
Self-development,56,Richard St. John,237,2009,2009,182,3661633
Environment,27,Jane Poynter,953,2009,2009,103,843719
Society,30,Clay Shirky,948,2009,2009,344,1677738
Technology&Science,29,Diane Benscoter,384,2009,2009,642,1076279
Technology&Science,28,Catherine Mohr,1135,2009,2009,110,680984
Health&Medical,37,Philip Zimbardo,394,2009,2009,166,1580239
Politics,28,Paul Collier,994,2009,2009,93,406530
Society,26,Katherine Fulton,754,2007,2009,42,437529
Self-development,32,Ray Zahab,353,2009,2009,60,310446
Education,64,Arthur Benjamin,178,2009,2009,398,2175141
Self-development,41,Gever Tulley,245,2009,2009,172,1149257
Education,24,Daniel Libeskind,1116,2009,2009,423,784642
Art,20,Eames Demetrios,908,2007,2009,26,594111
Technology&Science,34,Tom Wujec,386,2009,2009,101,1022457
Society,34,Sophal Ear,357,2009,2009,80,501090
Health&Medical,33,Kary Mullis,275,2009,2009,144,624544
Environment,22,Stewart Brand,1002,2009,2009,473,646378
Technology&Science,24,Olafur Eliasson,576,2009,2009,54,522578
Health&Medical,31,Daniel Kraft,254,2009,2009,81,462619
Health&Medical,33,Jim Fallon,392,2009,2009,155,2064604
Health&Medical,27,Nina Jablonski,888,2009,2009,301,996694
Technology&Science,27,Gordon Brown,1003,2009,2009,514,811914
